Name,Facility Type,AHCA Number (File Number),Phone Number,Licensed Beds,License ID,License Number,License Status,Closed Date,License Effective Date,License Expiration Date,Street Address,Street Address 2,Street City,Street Zip,Street State,Street County,Mailing Address,Mailing Address 2,Mailing City,Mailing State,Mailing Zip,Mailing County,Owner,Owner Since,Profit Status,Web Address,Admin/CEO
BARTRAM LAKES ASSISTED LIVING,Assisted Living Facility,11968539,(904) 528-3500,100,350997,12426,IN REVIEW,,1/13/2024 12:00:00 AM,1/12/2026 12:00:00 AM,6209 BROOKS BARTRAM DR BLDG 200,,JACKSONVILLE,32258,FL,Duval,3599 UNIVERSITY BLVD S,ATTN: MANAGED CARE,JACKSONVILLE,FL,32216-4252,Duval,BROOKS SKILLED NURSING FACILITY A INC,8/8/2013 12:00:00 AM,Not-For-Profit,www.bartramlakes.org,FELIX CHARLES JOHNSON III
"BAXTER'S ADULT LIVING FACILITY, INC",Assisted Living Facility,11967659,(772) 871-7865,6,288943,11666,IN REVIEW,,12/31/2023 12:00:00 AM,12/30/2025 12:00:00 AM,3174 SW FAMBROUGH ST,,PORT SAINT LUCIE,34953-4540,FL,St. Lucie,3174 SW FAMBROUGH ST,,PORT SAINT LUCIE,FL,34953-4540,St. Lucie,"BAXTER'S ADULT LIVING FACILITY, INC",7/10/2009 12:00:00 AM,For-Profit,,DIDRICK JEAN-BAPTISTE
BAY BREEZE SENIOR LIVING AND REHABILITATION CENTER,Assisted Living Facility,11942846,(850) 932-9257,60,2163,13931,LICENSED,,4/1/2024 12:00:00 AM,3/31/2026 12:00:00 AM,3387 GULF BREEZE PKWY,,GULF BREEZE,32563,FL,Santa Rosa,3387 GULF BREEZE PKWY,,GULF BREEZE,FL,32563,Santa Rosa,BAY BREEZE OPERATING INVESTMENTS LLC,4/1/2022 12:00:00 AM,For-Profit,,BROOKE BUTLER
BAY HOME,Assisted Living Facility,11942780,(727) 525-1906,6,2122,8249,LICENSED,,9/20/2024 12:00:00 AM,9/19/2026 12:00:00 AM,5200 17TH ST N,,SAINT PETERSBURG,33714-2706,FL,Pinellas,5200 17TH ST N,,SAINT PETERSBURG,FL,33714-2706,Pinellas,M & J HOME CARE INC,3/16/2004 12:00:00 AM,For-Profit,,JUNE LEE MORRIS
BAY ISLES SENIOR CARE,Assisted Living Facility,11969842,(772) 353-4966,6,475681,13602,LICENSED,,6/9/2025 12:00:00 AM,6/8/2027 12:00:00 AM,1782 SW WHIPPLE AVE,,PORT SAINT LUCIE,34953,FL,St. Lucie,1782 SW WHIPPLE AVE,,PORT SAINT LUCIE,FL,34953,St. Lucie,NEW ISLE GROUP LLC DBA BAY ISLES SENIOR CARE,3/16/2021 12:00:00 AM,For-Profit,bayislesalf.com,MARCIA STYLES
BAY LAKE RANCH ASSISTED LIVING LLC,Assisted Living Facility,11970786,(407) 963-4679,6,571150,14047,LICENSED,,10/31/2025 12:00:00 AM,10/30/2027 12:00:00 AM,2005 RUNNING HORSE TRL,,SAINT CLOUD,34771,FL,Osceola,2005 RUNNING HORSE TRL,,SAINT CLOUD,FL,34771,Osceola,BAY LAKE RANCH ASSISTED LIVING LLC,8/8/2025 12:00:00 AM,For-Profit,,DANIEL GONZALEZ
BAY OAKS HISTORIC RETIREMENT RESIDENCE INC,Assisted Living Facility,11910870,(305) 573-4337,32,1202,5168,LICENSED,,4/22/2024 12:00:00 AM,4/21/2026 12:00:00 AM,435 NE 34TH ST,,MIAMI,33137-4012,FL,Miami-Dade,435 NE 34TH ST,,MIAMI,FL,33137-4012,Miami-Dade,BAY OAKS HISTORIC RETIREMENT RESIDENCE,1/1/1980 12:00:00 AM,Not-For-Profit,www.BayOaksMiami.com,DORIAN CHEN
BAY VILLAGE OF SARASOTA INC,Assisted Living Facility,11964619,(941) 966-5611,30,3569,9166,LICENSED,,4/30/2024 12:00:00 AM,4/29/2026 12:00:00 AM,8400 VAMO ROAD,,SARASOTA,34231,FL,Sarasota,8400 VAMO ROAD,,SARASOTA,FL,34231,Sarasota,BAY VILLAGE OF SARASOTA INC,12/4/2019 12:00:00 AM,Not-For-Profit,bayvillage.org,JENNIFER LYNN GRIMES
BAY VILLAGE OF SARASOTA INC,Assisted Living Facility,11970132,(941) 966-5611,15,515355,13765,LICENSED,,1/6/2025 12:00:00 AM,1/5/2027 12:00:00 AM,8611 VAMO RD,,SARASOTA,34231,FL,Sarasota,8400 VAMO RD,,SARASOTA,FL,34231,Sarasota,"Bay Village of Sarasota, Inc.",11/17/2022 12:00:00 AM,For-Profit,www.bayvillage.org,JENNIFER LYNN GRIMES
"BAYAMO ASSISTED LIVING FACILITY, INC",Assisted Living Facility,11966560,(772) 873-2903,6,201804,10726,LICENSED,,5/2/2025 12:00:00 AM,5/1/2027 12:00:00 AM,1199 SW BAYAMO AVENUE,,PORT SAINT LUCIE,34953,FL,St. Lucie,1199 SW BAYAMO AVE,,PORT SAINT LUCIE,FL,34953,St. Lucie,"BAYAMO ASSISTED LIVING FACILITY, INC",2/1/2007 12:00:00 AM,For-Profit,,ELODY JEAN-BAPTISTE
BAYOU GARDENS ASSISTED LIVING,Assisted Living Facility,11932484,(727) 781-5600,41,1938,8104,LICENSED,,12/15/2025 12:00:00 AM,12/14/2027 12:00:00 AM,2275 NEBRASKA AVE,,PALM HARBOR,34683,FL,Pinellas,179 SHORE DR,,PALM HARBOR,FL,34683-5425,Pinellas,"H51 BAYOU GARDENS, LLC",9/16/2013 12:00:00 AM,For-Profit,www.bayougardensalf.com,CARRIE HELM
"BAYOU GARDENS DUNEDIN, LLC",Assisted Living Facility,11965317,(727) 216-6144,50,4216,9712,LICENSED,,10/10/2024 12:00:00 AM,10/9/2026 12:00:00 AM,1585 CURLEW RD,,DUNEDIN,34698,FL,Pinellas,1585 CURLEW RD,,DUNEDIN,FL,34698,Pinellas,BAYOU GARDENS DUNEDIN LLC,7/12/2016 12:00:00 AM,For-Profit,www.bayougardensalf.com,CARRIE HELM
BAYOU PALMS ASSISTED LIVING & MEMORY CARE,Assisted Living Facility,11970732,,38,566925,14027,LICENSED,,8/12/2025 12:00:00 AM,8/11/2027 12:00:00 AM,435 42ND AVE S,,ST PETERSBURG,33705,FL,Pinellas,435 42ND AVE S,,ST PETERSBURG,FL,33705,Pinellas,ST PETERSBURG ALF MANAGEMENT LLC,12/6/2018 12:00:00 AM,For-Profit,,RYAN ILESH AMIN
BAYSHORE GUEST HOME,Assisted Living Facility,11967905,(941) 484-1222,22,304425,11852,LICENSED,,10/20/2024 12:00:00 AM,10/19/2026 12:00:00 AM,512 BAYSHORE ROAD,,NOKOMIS,34275,FL,Sarasota,6305 MANASOTA KEY RD,,ENGLEWOOD,FL,34223-9202,Sarasota,"KEYSTYLE LIVING, LLC",6/28/2010 12:00:00 AM,For-Profit,bayshoreguesthome.com,MONICA ELIZABETH DOWHAN
BAYSHORE MEMORY CARE,Assisted Living Facility,11968916,(239) 900-3976,73,376789,12760,LICENSED,,9/21/2024 12:00:00 AM,9/20/2026 12:00:00 AM,1260 CREEKSIDE BLVD E,,NAPLES,34109,FL,Collier,1260 CREEKSIDE BLVD E,,NAPLES,FL,34109,Collier,ARHC BSNPLFL01 TRS LLC DBA BAYSHORE MEMORY CARE,3/12/2020 12:00:00 AM,For-Profit,www.bayshorememorycare.com,EVADNE SMITH
BAYSHORE PLACE,Assisted Living Facility,11969060,(941) 953-6949,18,387746,12911,LICENSED,,1/1/2025 12:00:00 AM,12/31/2026 12:00:00 AM,1303 N TAMIAMI TRL,,SARASOTA,34236,FL,Sarasota,1303 N TAMIAMI TRL,,SARASOTA,FL,34236,Sarasota,"SARASOTA BAY CLUB MANAGEMENT COMPANY, LLC",6/20/2016 12:00:00 AM,For-Profit,,SANDRA BUSBY
BAYSIDE TERRACE SENIOR LIVING,Assisted Living Facility,11963958,(727) 576-1234,162,3021,6139,LICENSED,,2/1/2025 12:00:00 AM,1/31/2027 12:00:00 AM,9381 US HIGHWAY 19 N,,PINELLAS PARK,33782-5410,FL,Pinellas,9381 US HIGHWAY 19 N,,PINELLAS PARK,FL,33782-5410,Pinellas,"BAYSIDE TERRACE SENIOR LIVING, LLC",2/1/2023 12:00:00 AM,For-Profit,,LESLIE EDWARDS
BAYTREE LAKESIDE,Assisted Living Facility,11943041,(727) 545-0623,80,2299,6773,LICENSED,,5/23/2025 12:00:00 AM,5/22/2027 12:00:00 AM,6411 46TH AVE N,,SAINT PETERSBURG,33709,FL,Pinellas,6411 46TH AVE N,,SAINT PETERSBURG,FL,33709,Pinellas,MORNINGSTAR ASSISTED LIVING LLC,2/22/2013 12:00:00 AM,For-Profit,www.assistingmom.com,SANDRA BURNS
BEACH HOUSE NAPLES ASSISTED LIVING & MEMORY CARE,Assisted Living Facility,11968979,(239) 307-1800,140,382215,12828,IN REVIEW,,12/18/2023 12:00:00 AM,12/17/2025 12:00:00 AM,1000 AIRPORT PULLING RD S,,NAPLES,34104,FL,Collier,1000 AIRPORT PULLING RD S,,NAPLES,FL,34104,Collier,"CPF LC II OPERATIONS - BEACH HOUSE, LLC",12/18/2019 12:00:00 AM,For-Profit,https://www.beachhousenaplesseniorliving.com,MICHELE ROMEO
BEACH HOUSE SENIOR LIVING,Assisted Living Facility,11968754,(904) 829-6479,100,365291,12590,PROVISIONAL,,3/11/2026 12:00:00 AM,9/10/2026 12:00:00 AM,1315 2ND AVE N,,JACKSONVILLE BEACH,32250,FL,Duval,1315 2ND AVE N,,JACKSONVILLE BEACH,FL,32250,Duval,AUERBACH IV-ARCTOS PROPERTY OWNER LLC,3/11/2026 12:00:00 AM,For-Profit,www.beachhouseseniorliving.com,VICTORY ANNE SLOAN
BEACHSIDE LIVING LLC,Assisted Living Facility,11965835,(954) 788-8350,15,4716,10156,LICENSED,,8/5/2024 12:00:00 AM,8/4/2026 12:00:00 AM,420 N RIVERSIDE DR,,POMPANO BEACH,33062-5035,FL,Broward,420 N RIVERSIDE DR,,POMPANO BEACH,FL,33062-5035,Broward,CHRISTALLIS MANOR III,8/5/2020 12:00:00 AM,For-Profit,,CHRISTOPHER L DIERKING
BEAR LAKE RETIREMENT HOME,Assisted Living Facility,11911900,(407) 296-7075,12,1682,8413,LICENSED,,6/30/2025 12:00:00 AM,6/29/2027 12:00:00 AM,1525 BEAR LAKE ROAD,,APOPKA,32703,FL,Orange,1525 BEAR LAKE RD,,APOPKA,FL,32703,Orange,BEAR LAKE RETIREMENT HOME INC,1/8/2003 12:00:00 AM,For-Profit,,MARINA NIEVES
BEAUTY & BEYOND SUITES LLC,Assisted Living Facility,11970702,(954) 258-0612,6,565300,13992,LICENSED,,5/22/2025 12:00:00 AM,5/21/2027 12:00:00 AM,6780 NW 44TH CT,,LAUDERHILL,33319,FL,Broward,6780 NW 44TH CT,,LAUDERHILL,FL,33319,Broward,Beauty & beyond Suites LLC,5/22/2025 12:00:00 AM,For-Profit,,LEA COLEY
BEAUTY DOLL HOUSE LLC,Assisted Living Facility,11965736,(305) 388-6519,6,4621,10084,PROVISIONAL,,3/2/2026 12:00:00 AM,9/3/2026 12:00:00 AM,8735 SW 132ND CT,,MIAMI,33183-4170,FL,Miami-Dade,8735 SW 132ND CT,,MIAMI,FL,33183-4170,Miami-Dade,Beauty Doll House LLC,3/2/2026 12:00:00 AM,For-Profit,,LAZARO VALLINAS CALUNGA
BEDROCK CARE AT SOUTHERN LIFE ASSISTED LIVING,Assisted Living Facility,11967173,(863) 465-0568,97,252133,11211,LICENSED,,3/2/2026 12:00:00 AM,3/31/2028 12:00:00 AM,1297 US 27 N,,LAKE PLACID,33852-7907,FL,Highlands,1297 US 27 N,,LAKE PLACID,FL,33852-7907,Highlands,SOUTHERN LIFE OPERATING INVESTMENTS LLC,4/1/2022 12:00:00 AM,For-Profit,www.southernlifealf.com/,NATALIE YEAZEL
BEEHIVE HOMES OF GULF BREEZE,Assisted Living Facility,11969082,(850) 733-9860,20,389444,12891,LICENSED,,11/27/2024 12:00:00 AM,11/26/2026 12:00:00 AM,4702 GULF BREEZE PKWY,,GULF BREEZE,32563,FL,Santa Rosa,4702 GULF BREEZE PARKWAY,,GULF BREEZE,FL,32563,Santa Rosa,"BEEHIVE HOMES OF PENSACOLA, LLC",8/4/2016 12:00:00 AM,For-Profit,https://beehivehomes.com/location/gulf-breeze/,ALLISON BELL
BEEHIVE HOMES OF GULF BREEZE,Assisted Living Facility,11969754,(850) 733-9214,25,454535,13506,LICENSED,,11/27/2024 12:00:00 AM,11/26/2026 12:00:00 AM,4732 GULF BREEZE PKWY,,GULF BREEZE,32563,FL,Santa Rosa,4702 GULF BREEZE PKWY,,GULF BREEZE,FL,32563,Santa Rosa,"BEEHIVE HOMES OF PENSACOLA, LLC",8/21/2020 12:00:00 AM,For-Profit,https://beehivehomes.com/locations/gulf-breeze/,ALLISON BELL
BEEHIVE HOMES OF LYNN HAVEN,Assisted Living Facility,11968868,(850) 571-9032,20,373410,12716,LICENSED,,5/30/2025 12:00:00 AM,5/29/2027 12:00:00 AM,4621 HILLTOP LN,,PANAMA CITY,32405,FL,Bay,4621 HILLTOP LN,,PANAMA CITY,FL,32405,Bay,GENERATIONS HEALTH CARE FLORIDA LLC,8/29/2018 12:00:00 AM,For-Profit,www.beehivehomes.com,SPENCER MONTGOMERY
BEEHIVE HOMES OF NICEVILLE,Assisted Living Facility,11968029,(850) 897-1462,16,315764,12000,IN REVIEW,,5/2/2023 12:00:00 AM,5/1/2025 12:00:00 AM,4268 IDA COON CIR,,NICEVILLE,32578-4543,FL,Okaloosa,1031 WEST CONGRESS STREET,,BROOKHAVEN,MS,39601,,"NBHB, LLC",12/3/2018 12:00:00 AM,For-Profit,www.beehivehomes.com,BONNY CAIN
BEEVA PLACE ASSISTED LIVING FACILITY,Assisted Living Facility,11968276,(561) 791-6287,6,332456,12193,LICENSED,,5/25/2024 12:00:00 AM,5/24/2026 12:00:00 AM,137 SANTIAGO ST,,ROYAL PALM BEACH,33411,FL,Palm Beach,137 SANTIAGO ST,,ROYAL PALM BEACH,FL,33411,Palm Beach,BEEVA PLACE ASSISTED LIVING FACILITY LLC,3/12/2012 12:00:00 AM,For-Profit,,BERNEVA NEBAR
BEGGS POINTE ASSISTED LIVING FACILITY,Assisted Living Facility,11911288,(561) 827-8219,16,1444,5825,PROVISIONAL,,12/7/2025 12:00:00 AM,6/6/2026 12:00:00 AM,4711 BEGGS ROAD,,ORLANDO,32810,FL,Orange,4711 BEGGS ROAD,,ORLANDO,FL,32810,Orange,Laine Management Group LLC,6/6/2025 12:00:00 AM,For-Profit,,CLAUDIA LAINE
"BELEN CARE FACILITIES AT DR PHILLIPS, LLC",Assisted Living Facility,11970307,(407) 579-6889,6,537630,13849,LICENSED,,12/5/2025 12:00:00 AM,12/4/2027 12:00:00 AM,5757 CEDAR PINE DR,,ORLANDO,32819,FL,Orange,5757 CEDAR PINE DR,,ORLANDO,FL,32819,Orange,"BELEN CARE FACILITIES AT DR. PHILLIPS, LLC",11/1/2022 12:00:00 AM,For-Profit,,JANICE CELESTINO PINUELA
"BELEN CARE FACILITIES AT DR PHILLIPS, LLC",Assisted Living Facility,11970475,(407) 930-5186,6,550215,13916,LICENSED,,8/15/2024 12:00:00 AM,8/19/2026 12:00:00 AM,6311 VINELAND RD,,ORLANDO,32819,FL,Orange,6311 VINELAND RD,,ORLANDO,FL,32819,Orange,"Belen Care Facilities at Dr. Phillips, LLC",11/1/2022 12:00:00 AM,For-Profit,,JANICE CELESTINO PINUELA
BELEN HOME CARE,Assisted Living Facility,11969576,(561) 433-1134,5,437384,13386,LICENSED,,4/2/2024 12:00:00 AM,4/1/2026 12:00:00 AM,4584 SUTTON TER S,,WEST PALM BCH,33415-4653,FL,Palm Beach,4584 SUTTON TER S,,WEST PALM BCH,FL,33415-4653,Palm Beach,BELEN HOME CARE INC,8/7/2019 12:00:00 AM,For-Profit,,YAMAY PEREZ-AVILA
BELLA ALF LLC,Assisted Living Facility,11969208,(786) 478-6992,6,399859,13035,IN REVIEW,,11/1/2023 12:00:00 AM,10/31/2025 12:00:00 AM,17783 SW 145 AVE,,MIAMI,33177,FL,Miami-Dade,17783 SW 145 AVE,,MIAMI,FL,33177,Miami-Dade,BELLA ALF LLC,11/1/2021 12:00:00 AM,For-Profit,,LILIANNY PUERTAS ORTEGA
BELLA LUNA RETIREMENT HOME II INC,Assisted Living Facility,11965711,(786) 525-7466,6,4597,10054,IN REVIEW,,1/5/2024 12:00:00 AM,1/4/2026 12:00:00 AM,11511 SW 128TH ST,,MIAMI,33176-4484,FL,Miami-Dade,11511 SW 128TH ST,,MIAMI,FL,33176-4484,Miami-Dade,"BELLA LUNA RETIREMENT HOME II, INC.",7/18/2011 12:00:00 AM,For-Profit,,MARTHA MARIA PEREZ CABRERA
BELLA MAR AT DELRAY BEACH,Assisted Living Facility,11969859,(561) 612-6770,145,478429,13613,LICENSED,,6/16/2025 12:00:00 AM,6/15/2027 12:00:00 AM,14100 VIA FLORA,,DELRAY BEACH,33484,FL,Palm Beach,4301 ANCHOR PLAZA PKWY,STE 300,TAMPA,FL,33634-7521,Hillsborough,DELRAY SENIOR LIVING LLC,4/29/2021 12:00:00 AM,For-Profit,https://www.inspiredliving.care/senior-living/fl/delray-beach/via-flora/,JOHN CULHANE
BELLA MAR AT ROYAL PALM BEACH,Assisted Living Facility,11969797,(561) 570-2090,114,460375,13539,LICENSED,,12/14/2024 12:00:00 AM,12/13/2026 12:00:00 AM,11911 SOUTHERN BLVD,,ROYAL PALM BEACH,33411,FL,Palm Beach,4301 ANCHOR PLAZA PKWY,STE 300,TAMPA,FL,33634-7521,Hillsborough,RPB SENIOR LIVING LLC,4/18/2018 12:00:00 AM,For-Profit,https://bellamarroyalpalmbeach.com/,ADAM BAKER
"BELLA ROSE ALF, INC",Assisted Living Facility,11968529,(813) 455-6536,6,350042,12409,LICENSED,,12/17/2025 12:00:00 AM,12/16/2027 12:00:00 AM,804 W YUKON ST,,TAMPA,33604-1236,FL,Hillsborough,804 W YUKON ST,,TAMPA,FL,33604-1236,Hillsborough,BELLA ROSE ALF INC,9/18/2013 12:00:00 AM,For-Profit,bellarosealf.com,CAMILA GORGAL
BELLA SENIOR LIVING,Assisted Living Facility,11968925,(386) 947-7817,6,377306,12758,LICENSED,,2/7/2026 12:00:00 AM,2/6/2028 12:00:00 AM,417 BAYBERRY LAKES BLVD,,DAYTONA BEACH,32124,FL,Volusia,417 BAYBERRY LAKES BLVD,,DAYTONA BEACH,FL,32124-3626,Volusia,"CLEARSTONE GROUP, LLC",9/25/2015 12:00:00 AM,For-Profit,N/A,AVALON BUTLER
"BELLA VIDA AT LAKE FOREST, LLC",Assisted Living Facility,11970148,(352) 729-6922,6,516983,13772,LICENSED,,1/24/2025 12:00:00 AM,1/23/2027 12:00:00 AM,4055 LAKE FOREST ST,,MOUNT DORA,32757,FL,Lake,4055 LAKE FOREST ST,,MOUNT DORA,FL,32757,Lake,BELLA VIDA AT LAKE FOREST LLC,11/17/2022 12:00:00 AM,For-Profit,,PENNY LYNN BROWNELL
BELLA VITA ASSISTED LIVING FACILITY LLC,Assisted Living Facility,11970772,(321) 327-4327,6,570069,14019,LICENSED,,8/5/2025 12:00:00 AM,8/4/2027 12:00:00 AM,1405 GRAVES ST SE,,PALM BAY,32909,FL,Brevard,1405 GRAVES ST SE,,PALM BAY,FL,32909,Brevard,BELLA VITA ASSISTED LIVING FACILITY LLC,7/15/2025 12:00:00 AM,For-Profit,,NICHOLE GORDON
BELLAGIO PALMS ALF II INC.,Assisted Living Facility,11967937,(305) 988-0659,6,308903,11957,LICENSED,,5/24/2025 12:00:00 AM,5/23/2027 12:00:00 AM,21 NW 133RD PL,,MIAMI,33182-1642,FL,Miami-Dade,800 NW 133RD AVE,,MIAMI,FL,33182-1806,Miami-Dade,BELLAGIO PALMS ALF II INC,5/24/2021 12:00:00 AM,For-Profit,,GRETTELL LOPEZ
BELLAS HOUSE CORP,Assisted Living Facility,11970584,(813) 505-5564,8,558221,13952,LICENSED,,12/26/2024 12:00:00 AM,12/25/2026 12:00:00 AM,7016 N DAKOTA AVE,,TAMPA,33604,FL,Hillsborough,7016 N DAKOTA AVE,,TAMPA,FL,33604,Hillsborough,Bella's House Corp,1/1/2020 12:00:00 AM,For-Profit,,DAVID REMEDIOS AGUADO
BELLE VIE ASSISTED LIVING FACILITY LLC,Assisted Living Facility,11970352,(561) 710-2288,5,540910,13909,LICENSED,,7/29/2024 12:00:00 AM,7/28/2026 12:00:00 AM,2757 HYPOLUXO RD,,BOYNTON BEACH,33462,FL,Palm Beach,7711 N MILITARY TRL STE 409,,PALM BEACH GARDENS,FL,33410,Palm Beach,BELLE VIE ASSISTED LIVING FACILITY LLC,11/1/2022 12:00:00 AM,For-Profit,,GRACE JUDGE
BELLEAIR MANOR,Assisted Living Facility,11922288,(727) 441-2373,6,1832,7960,LICENSED,,3/27/2025 12:00:00 AM,3/26/2027 12:00:00 AM,1711 BALMORAL DRIVE,,CLEARWATER,33756,FL,Pinellas,12620 PORTMARNOCK DR,,ODESSA,FL,33556-5414,Hillsborough,LEGER GROUP INC,11/20/2000 12:00:00 AM,For-Profit,,CLAUDETTE VALLES
BELMONT VILLAGE CORAL GABLES,Assisted Living Facility,11970300,(305) 416-7171,232,536854,13855,IN REVIEW,,1/11/2024 12:00:00 AM,1/10/2026 12:00:00 AM,4111 SALZEDO ST,,CORAL GABLES,33146,FL,Miami-Dade,7660 WOODWAY DR,,HOUSTON,TX,77083,,BVBP PO CG LLC,12/12/2023 12:00:00 AM,For-Profit,https://www.belmontvillage.com/locations/coral-gables-florida/,THERESA SZPILA
"BELMONT VILLAGE FT LAUDERDALE, LLC",Assisted Living Facility,11969670,(954) 524-8500,244,444816,13484,LICENSED,,6/24/2024 12:00:00 AM,6/23/2026 12:00:00 AM,1031 SEMINOLE DR,,FORT LAUDERDALE,33304,FL,Broward,1031 SEMINOLE DR,,FORT LAUDERDALE,FL,33304,Broward,"BELMONT VILLAGE FT. LAUDERDALE, LLC",2/5/2020 12:00:00 AM,For-Profit,www.belmontvillage.com,SUSAN SNYDER
BELOVED SENIOR LIVING LLC,Assisted Living Facility,11970208,(321) 327-2381,5,526471,13812,LICENSED,,6/29/2025 12:00:00 AM,6/28/2027 12:00:00 AM,342 OLSTER ST SW,,PALM BAY,32908,FL,Brevard,342 OLSTER ST SW,,PALM BAY,FL,32908,Brevard,BELOVED SENIOR LIVING LLC,4/6/2023 12:00:00 AM,For-Profit,belovedseniorliving.com,HEATHER  SIMPSON-NAVARRE
BELVEDERE COMMONS OF FORT WALTON BEACH,Assisted Living Facility,11965472,(850) 243-7735,87,4366,9819,LICENSED,,5/4/2024 12:00:00 AM,5/3/2026 12:00:00 AM,2000 PRINCIPAL LANE,,FORT WALTON BEACH,32547,FL,Okaloosa,2000 PRINCIPAL LANE,,FORT WALTON BEACH,FL,32547,Okaloosa,FKP FORT WALTON BEACH SENIOR LIVING TENANT LLC,3/21/2008 12:00:00 AM,For-Profit,,BELINDA K. BASS
BELVEDERE COMMONS OF SUN CITY CENTER,Assisted Living Facility,11964842,(813) 642-8400,70,3770,9323,LICENSED,,5/4/2024 12:00:00 AM,5/3/2026 12:00:00 AM,758 CORTARO DRIVE,,SUN CITY CENTER,33573,FL,Hillsborough,758 CORTARO DRIVE,,SUN CITY CENTER,FL,33573,Hillsborough,FKP SUN CITY CENTER SENIOR LIVING TENANT LLC,3/21/2008 12:00:00 AM,For-Profit,https://www.belvederecommonssuncitycenter.com/,JESSICA LOPEZ
BENRAC HOME ALF,Assisted Living Facility,11967541,(813) 453-4245,6,281351,11573,LICENSED,,8/2/2025 12:00:00 AM,8/1/2027 12:00:00 AM,910 BRIARCLIFF DRIVE,,VALRICO,33594,FL,Hillsborough,910 BRIARCLIFF DRIVE,,VALRICO,FL,33594,Hillsborough,BENRAC TENDER CARE INC,2/23/2009 12:00:00 AM,For-Profit,,OLUDOTUN ALEGE
BENTLEY VILLAGE,Assisted Living Facility,11912088,(239) 431-2050,132,1754,5598,LICENSED,,11/27/2024 12:00:00 AM,11/26/2026 12:00:00 AM,870 CLASSIC COURT,,NAPLES,34110,FL,Collier,233 S WACKER DR,SUITE 8400,CHICAGO,IL,60606,,"CC - NAPLES, INC.",4/7/1992 12:00:00 AM,For-Profit,www.viliving.com/locations/fl/naples-bentley-village,KRYSTAL L GARRELL
BENTON HOUSE OF CLERMONT,Assisted Living Facility,11968627,(352) 241-9994,72,357454,12491,LICENSED,,3/28/2025 12:00:00 AM,3/27/2027 12:00:00 AM,16401 GOOD HEARTH BLVD,,CLERMONT,34711-8511,FL,Lake,16401 GOOD HEARTH BLVD,,CLERMONT,FL,34711-8511,Lake,GOOD HEARTH SENIOR CARE LLC,12/28/2018 12:00:00 AM,For-Profit,www.bentonhouse.com/senior-living-clermont-fl/,PAMELA GUST-ORR
BERMUDEZ SENIOR CARE INC,Assisted Living Facility,11967037,(786) 534-8997,6,241965,11117,IN REVIEW,,12/26/2023 12:00:00 AM,12/25/2025 12:00:00 AM,5301 SW 162ND PL,,MIAMI,33185-5045,FL,Miami-Dade,5301 SW 162ND PL,,MIAMI,FL,33185-5045,Miami-Dade,"BERMUDEZ SENIOR CARE, INC",7/30/2007 12:00:00 AM,For-Profit,,MAYENCYS TRIANA
BERRYHILL MANOR RETIREMENT CENTER,Assisted Living Facility,11965129,(850) 623-6550,65,4047,9519,LICENSED,,6/30/2024 12:00:00 AM,6/29/2026 12:00:00 AM,5544 SWANNER RD.,,MILTON,32570,FL,Santa Rosa,5544 SWANNER RD.,,MILTON,FL,32570,Santa Rosa,RUSHAN CORPORATION,2/15/2005 12:00:00 AM,For-Profit,berryhillmanor.com,APRIL GILMORE
BEST CARE SENIOR LIVING AT BRANDON LLC,Assisted Living Facility,11965363,(813) 733-0909,70,4260,9739,LICENSED,,3/31/2025 12:00:00 AM,3/30/2027 12:00:00 AM,1819 PROVIDENCE RIDGE BLVD,,BRANDON,33511-1899,FL,Hillsborough,6983 EAST FOWLER AVENUE,,TEMPLE TERRACE,FL,33617,Hillsborough,BEST CARE SENIOR LIVING AT BRANDON LLC,3/31/2025 12:00:00 AM,For-Profit,www.bestcareseniorliving.com,REBECCA LAWSON
BEST CARE SENIOR LIVING AT CENTRAL TAMPA LLC,Assisted Living Facility,11966458,(813) 629-4725,100,194220,10691,LICENSED,,12/26/2025 12:00:00 AM,12/25/2027 12:00:00 AM,5010 N 40TH ST,,TAMPA,33610-5202,FL,Hillsborough,6983 E FOWLE N 40TH ST,,TEMPLE TERRACE,FL,33617,Hillsborough,BEST CARE SENIOR LIVING AT CENTRAL TAMPA LLC,12/26/2023 12:00:00 AM,For-Profit,www.centraltampaal.org,CRISTINA ARUTA
BEST CARE SENIOR LIVING AT HERITAGE MANOR,Assisted Living Facility,11968965,(813) 977-7878,40,381052,12795,LICENSED,,5/16/2024 12:00:00 AM,5/15/2026 12:00:00 AM,1908 E 131ST AVE,,TAMPA,33612-4690,FL,Hillsborough,6983 E FOWLER AVE,,TEMPLE TERR,FL,33617-1714,Hillsborough,HERITAGE MANOR ASISTED LIVING FACILITY CORP,12/31/2015 12:00:00 AM,For-Profit,www.bestcareseniorliving.com,CRISTINA ARUTA
"BEST CARE SENIOR LIVING AT LECANTO, LLC",Assisted Living Facility,11968372,(813) 733-0909,69,338622,12256,LICENSED,,3/31/2025 12:00:00 AM,3/30/2027 12:00:00 AM,4865 W GULF TO LAKE HIGHWAY,,LECANTO,34461,FL,Citrus,4865 W GULF TO LAKE HIGHWAY,,LECANTO,FL,34461,Citrus,"Best Care Senior Living at Lecanto, LLC",3/31/2025 12:00:00 AM,Not-For-Profit,www.superiorlecanto.com,MS TAMMY J BAKER
