"File Number","Facility","Type","Street Address","City","Zip","Phone Number","Licensed Beds"
"11910124","RIVERVIEW RETIREMENT CENTER","Assisted Living Facility","4470 SOUTH WASHINGTON AVE","TITUSVILLE","32780","(321) 383-2125","27"
"11910126","GRAND VILLA OF ALTAMONTE SPRINGS","Assisted Living Facility","433 ORANGE DRIVE","ALTAMONTE SPRINGS","32701","(407) 260-2433","180"
"11910134","VILLAGE ON THE ISLE","Assisted Living Facility","930 SOUTH TAMIAMI TRAIL","VENICE","34285","(941) 486-5462","85"
"11910140","ROYAL GARDENS OF ST CLOUD, LLC","Assisted Living Facility","4511 NEPTUNE ROAD","SAINT CLOUD","34769","(407) 892-2290","33"
"11910145","SANDPIPER ALF","Assisted Living Facility","6439 FIRST AVENUE, SOUTH","SAINT PETERSBURG","33707","(727) 343-6944","16"
"11910160","AZALEA MANOR","Assisted Living Facility","112 12TH AVE N","SAINT PETERSBURG","33701","(727) 821-8510","20"
"11910193","EMERALD COURT RETIREMENT RESIDENCES","Assisted Living Facility","7600 78TH AVENUE NORTH","PINELLAS PARK","33781","(727) 546-2711","90"
"11910197","CURLEW CARE OF CLEARWATER","Assisted Living Facility","2730 CURLEW RD","CLEARWATER","33761-1208","(727) 223-3190","26"
"11910204","AVIATA AT LAKESIDE OAKS VILLAS","Assisted Living Facility","1059 VIRGINIA ST","DUNEDIN","34698-7326","(727) 733-6091","24"
"11910231","GREENBRIAR MANOR  LLC","Assisted Living Facility","7555 131 ST NO","SEMINOLE","33776","(727) 398-0880","12"
"11910247","SALTERRA SENIOR LIVING AT LARGO","Assisted Living Facility","750 STARKEY ROAD","LARGO","33771","(727) 472-9569","143"
"11910251","INDIAN OAKS","Assisted Living Facility","11355 131ST STREET NORTH","LARGO","33774-4716","(727) 593-0403","52"
"11910252","INN AT FREEDOM SQUARE (THE)","Assisted Living Facility","10801 JOHNSON BLVD","SEMINOLE","33772-4746","(727) 398-0379","200"
"11910258","BROOKDALE NEW PORT RICHEY","Assisted Living Facility","6400 TROUBLE CREEK RD","NEW PORT RICHEY","34653-5248","(727) 847-2980","242"
"11910267","BROOKDALE CHAMBREL PINECASTLE","Assisted Living Facility","1801 SE 24TH RD","OCALA","34471-6073","(352) 368-7710","180"
"11910278","HAWTHORNE INN OF OCALA","Assisted Living Facility","3211 SW 42ND ST","OCALA","34471-9502","(352) 237-7776","44"
"11910281","LAKE PORT SQUARE INN","Assisted Living Facility","701 LAKE PORT BOULEVARD","LEESBURG","34748-7674","(352) 728-3366","40"
"11910284","MINNEOLA PLACE, A HOMEBRIDGE COMMUNITY ASSISTED LIVING","Assisted Living Facility","301 SOUTH MAIN AVENUE","MINNEOLA","34715","(352) 394-6619","32"
"11910289","PLANTATION ON SUMMERS LLC (THE)","Assisted Living Facility","147 SW SUMMERS LN","LAKE CITY","32025-0762","(386) 755-2737","64"
"11910299","GROVES AT ALLIANCE COMMUNITY (THE)","Assisted Living Facility","638 SOUTH WOODLAND BLVD","DELAND","32720","(386) 734-3481","54"
"11910300","ARLINGTON ADULT RESIDENTIAL FACILITY INC","Assisted Living Facility","6300 ARLINGTON EXPY","JACKSONVILLE","32211","(904) 725-6600","100"
"11910307","CORAL LANDING","Assisted Living Facility","2820 OLD MOULTRIE ROAD","SAINT AUGUSTINE","32086","(904) 794-2273","60"
"11910310","COUNTRYSIDE LAKES","Assisted Living Facility","941 VILLAGE TRL","PORT ORANGE","32127-9353","(386) 756-3480","120"
"11910312","DAYSPRING VILLAGE, INC","Assisted Living Facility","554820 US HIGHWAY 1","HILLIARD","32046","(904) 845-7501","126"
"11910317","GUARDIAN HOME II ALF LLC","Assisted Living Facility","902 CANAL ST","NEW SMYRNA BEACH","32168-6941","(386) 409-9456","11"
"11910323","L'ARCHE JACKSONVILLE, INC. I","Assisted Living Facility","700 ARLINGTON ROAD","JACKSONVILLE","32211","(904) 721-5992","5"
"11910325","L'ARCHE JACKSONVILLE, INC II","Assisted Living Facility","700 ARLINGTON RD N","JACKSONVILLE","32211-7306","(904) 403-3148","6"
"11910326","L'ARCHE JACKSONVILLE, INC. III","Assisted Living Facility","700 ARLINGTON RD N","JACKSONVILLE","32211-7306","(904) 403-5713","7"
"11910336","GRAND VILLA OF ORMOND BEACH","Assisted Living Facility","535 NORTH NOVA ROAD","ORMOND BEACH","32174","(386) 673-5000","115"
"11910337","INDIGO PALMS AT THE MANOR","Assisted Living Facility","595 N WILLIAMSON BLVD","DAYTONA BEACH","32114-7185","(386) 257-4400","50"
"11910339","PARK OF THE PALMS, INC","Assisted Living Facility","231 MARANATHA RD","KEYSTONE HEIGHTS","32656","(352) 473-6100","40"
"11910349","WESTMINSTER WOODS ON JULINGTON CREEK","Assisted Living Facility","25 STATE ROAD 13","JACKSONVILLE","32259","(904) 287-7300","80"
"11910357","PARKSIDE INN","Assisted Living Facility","1613 SW 3RD ST","BOYNTON BEACH","33435-6601","(561) 734-1616","38"
"11910367","CRESTHAVEN","Assisted Living Facility","5100 CRESTHAVEN BLVD","WEST PALM BEACH","33415","(561) 964-2828","308"
"11910371","OAKBRIDGE TERRACE ASSISTED LIV RES - EDGEWATER AT BOCA POINTE","Assisted Living Facility","23315 BLUE WATER CIR","BOCA RATON","33433-7053","(561) 391-5600","51"
"11910374","WINDSOR COURT","Assisted Living Facility","3700 N FLAGLER DRIVE","WEST PALM BEACH","33407","(561) 842-1047","92"
"11910377","GRAND VILLA OF DELRAY EAST","Assisted Living Facility","14555 SIMS ROAD","DELRAY BEACH","33484","(561) 496-1111","200"
"11910382","THE MERIDIAN AT LANTANA","Assisted Living Facility","3061 DONNELLY DRIVE","LANTANA","33462","(561) 965-7200","104"
"11910385","TROPICAL GARDEN VILLAS","Assisted Living Facility","432 S F ST","LAKE WORTH","33460-4314","(561) 383-2992","12"
"11910386","COLONIAL ASSISTED LIVING AT WEST PALM BEACH FL","Assisted Living Facility","534 DATURA ST","WEST PALM BEACH","33401-5308","(561) 659-9330","152"
"11910396","OAKBRIDGE TERRACE ASSISTED LIVING AT INDIAN RIVER ESTATES","Assisted Living Facility","2200 INDIAN CREEK BLVD W","VERO BEACH","32966-1331","(772) 453-2300","100"
"11910406","CRESTVIEW MANOR","Assisted Living Facility","603 NORTH PEARL STREET","CRESTVIEW","32536","(850) 689-7850","65"
"11910412","SUN BAY MANOR","Assisted Living Facility","8440 SW 155 TERRACE","MIAMI","33157","(305) 238-0373","8"
"11910413","SUN BAY MANOR II","Assisted Living Facility","8820 SW 148 STREET","MIAMI","33176","(305) 251-3080","6"
"11910415","SUN VILLAGE HOMES INC","Assisted Living Facility","1350/1360 WEST 31 STREET","HIALEAH","33012","(305) 823-8963","29"
"11910416","SWANKRIDGE, INC.","Assisted Living Facility","122 NW 7 STREET","HOMESTEAD","33030","(305) 248-9662","12"
"11910419","SAINT JUDE ADULT CARE CORP.","Assisted Living Facility","9981 SW 48 STREET","MIAMI","33165","(305) 226-2915","6"
"11910431","ELEVATED ESTATES OF BROOKSVILLE, LLC","Assisted Living Facility","307 HOWELL AVE","BROOKSVILLE","34601-2039","(352) 796-3276","135"
"11910470","THE WATERFORD AT CARPENTER'S CREEK","Assisted Living Facility","5918 NORTH DAVIS HIGHWAY","PENSACOLA","32503","(850) 477-8998","105"
"11910473","CARING VILLAGE AT FOREST GLEN, LLC","Assisted Living Facility","7435 PLATHE RD","NEW PORT RICHEY","34653-4554","(727) 845-0609","76"
"11910478","THE BARCLAY AT PASADENA","Assisted Living Facility","1255 PASADENA AVE S","SAINT PETERSBURG","33707","(727) 381-5411","175"
"11910484","ANTHURIUM (THE)","Assisted Living Facility","1835 12TH STREET, EAST","LEHIGH ACRES","33972","(239) 368-1177","10"
"11910486","MERRILL GARDENS AT BARKLEY PLACE","Assisted Living Facility","36 BARKLEY CIRCLE","FORT MYERS","33907","(941) 627-2542","64"
"11910496","KIVA AT CANTERBURY, LLC","Assisted Living Facility","10 7TH ST","BONITA SPRINGS","34134","(239) 250-5117","38"
"11910504","NEUROINTERNATIONAL HEALTHCARE, LLC","Assisted Living Facility","4004 FRUITVILLE ROAD","SARASOTA","34232","(941) 371-7147","16"
"11910518","HARBORVIEW ACRES INC","Assisted Living Facility","24450 HARBORVIEW ROAD","PORT CHARLOTTE","33980","(941) 743-7775","25"
"11910532","CAPE CHATEAU 2 ALF LLC","Assisted Living Facility","6722 WINKLER RD","FORT MYERS","33919","(239) 265-3220","19"
"11910533","BROOKDALE PHILLIPPI CREEK","Assisted Living Facility","5501 SWIFT ROAD","SARASOTA","34231","(941) 922-8778","127"
"11910541","SUMMER'S LANDING, LLC","Assisted Living Facility","615 FLORIDA AVE","LYNN HAVEN","32444-1737","(850) 265-9829","50"
"11910546","LIBERTY OAKS ALF LLC","Assisted Living Facility","12167 NW FREEMAN ROAD","BRISTOL","32321","(850) 643-5155","45"
"11910547","WESTMINSTER OAKS","Assisted Living Facility","4449 MEANDERING WAY","TALLAHASSEE","32308","(850) 878-1136","120"
"11910568","GARDEN VIEW ALF","Assisted Living Facility","526 N MARY ELLA AVE","PANAMA CITY","32404-2323","(850) 871-1611","40"
"11910608","PEMBROOK PLACE II ALF","Assisted Living Facility","1623 ROBINHOOD LN","CLEARWATER","33764","(727) 539-6872","12"
"11910622","HERITAGE HOUSE ASSISTED LIVING FACILITY","Assisted Living Facility","1810 S BELCHER RD","CLEARWATER","33764-6602","(727) 531-2236","24"
"11910625","NEW HORIZON SENIOR CITIZEN HOME","Assisted Living Facility","1745 FOREST DRIVE","INVERNESS","34453","(352) 726-5466","68"
"11910627","SOMERSET","Assisted Living Facility","2450 DORA AVENUE","TAVARES","32778","(352) 343-4464","60"
"11910630","FINNISH-AMERICAN VILLAGE","Assisted Living Facility","1800 SOUTH DR","LAKE WORTH","33461-6133","(561) 588-4333","120"
"11910631","HIDDEN LAKES SENIOR LIVING COMMUNITY","Assisted Living Facility","1006 33RD STREET","VERO BEACH","32960","(772) 567-5248","17"
"11910635","MRM BOARDING HOME","Assisted Living Facility","6035 72ND AVE N","PINELLAS PARK","33781-4143","(727) 546-4739","8"
"11910636","MASONIC HOME OF FLORIDA","Assisted Living Facility","3201 1ST ST NE","SAINT PETERSBURG","33704-2205","(727) 822-3499","102"
"11910644","APOLLO GARDENS RETIREMENT RESIDENCE CARE, INC.","Assisted Living Facility","2718 JOHNSON ST","HOLLYWOOD","33020-3824","(954) 923-5553","57"
"11910658","BROWARD HOUSE, INC.","Assisted Living Facility","417 SE 18TH CT","FORT LAUDERDALE","33316-2831","(954) 568-7373","60"
"11910662","COVENANT LIVING OF FLORIDA","Assisted Living Facility","9211 WEST BROWARD BLVD","PLANTATION","33324","(954) 916-6479","55"
"11910672","FOREST TRACE SENIOR LIVING","Assisted Living Facility","5500 NW 69TH AVENUE","LAUDERHILL","33319","(954) 572-4700","262"
"11910686","INDEPENDENCE HALL","Assisted Living Facility","1639 NE 26TH STREET","WILTON MANORS","33305","(954) 563-6232","125"
"11910689","THE POINTE AT PLANTATION","Assisted Living Facility","8600 W SUNRISE BLVD","PLANTATION","33322-4012","(954) 635-6712","70"
"11910692","JOHN KNOX VILLAGE OF FLORIDA, INC.","Assisted Living Facility","840 LAKESIDE CIR","POMPANO BEACH","33060-3720","(954) 783-4082","64"
"11910698","LINCOLN MANOR","Assisted Living Facility","2144 LINCOLN STREET","HOLLYWOOD","33022","(954) 922-1995","56"
"11910699","WILLOW BAY SENIOR RESORT","Assisted Living Facility","4001 WEST HILLSBORO BLVD.","DEERFIELD BEACH","33442","(954) 426-9700","130"
"11910705","OASIS AT MARGATE ASSISTED LIVING FACILITY","Assisted Living Facility","1189 W RIVER DR","MARGATE","33063-3578","(954) 972-0200","101"
"11910708","HORIZON ALF","Assisted Living Facility","1490 NW 21ST ST","FORT LAUDERDALE","33311-3522","(954) 523-1543","47"
"11910710","MERRIMENT ASSISTED LIVING RESIDENCE","Assisted Living Facility","1835 WILSON STREET","HOLLYWOOD","33020","(954) 921-4059","50"
"11910711","MIDTOWN ASSISTED LIVING RESIDENCE","Assisted Living Facility","2001 POLK STREET","HOLLYWOOD","33020","(954) 927-2001","105"
"11910716","NORTHLAKE LIVING","Assisted Living Facility","1222 NORTH 16TH AVENUE","HOLLYWOOD","33020","(954) 922-2643","114"
"11910720","THE COLONY CLUB ALF","Assisted Living Facility","3799 PINE ISLAND ROAD","SUNRISE","33351","(954) 748-0509","110"
"11910722","SALMOS 23 NO. 8, LLC","Assisted Living Facility","2801 NW 55 AVENUE","LAUDERHILL","33313","(954) 484-1960","128"
"11910731","ST JOSEPH RESIDENCE, INC.","Assisted Living Facility","3485 NW 30TH STREET","LAUDERDALE LAKES","33311","(954) 739-1483","90"
"11910732","GOLDEN AGE RESIDENCES, LLC","Assisted Living Facility","1110 S STATE ROAD 7","PLANTATION","33317","(954) 583-3321","29"
"11910733","CARING VILLAGE OF MARGATE","Assisted Living Facility","6810 SW 7TH STREET","MARGATE","33068","(954) 971-2286","111"
"11910737","AVALON PARK RETIREMENT RESIDENCE, INC.","Assisted Living Facility","604 NORTH 62ND AVENUE","HOLLYWOOD","33024","(954) 981-4822","60"
"11910750","WILLIAMSBURG LANDING","Assisted Living Facility","1776 NE 26TH ST","WILTON MANORS","33305-1429","(847) 917-8337","100"
"11910753","WINDSOR PLACE RETIREMENT HOME","Assisted Living Facility","1850 NE 26TH STREET","WILTON MANORS","33305","(954) 565-5858","80"
"11910759","VITALITY LIVING HUDSON","Assisted Living Facility","13707 DALLAS DRIVE","HUDSON","34667-7114","(727) 869-3533","210"
"11910760","WINDSOR HOUSE","Assisted Living Facility","411 HAMILTON CRESCENT","CLEARWATER","33756-5330","(727) 230-9637","25"
"11910765","UNION HOUSE","Assisted Living Facility","1930 UNION ST","CLEARWATER","33763-2249","(727) 734-0594","14"
"11910770","SALTERRA SENIOR LIVING AT DUNEDIN","Assisted Living Facility","880 PATRICIA AVENUE","DUNEDIN","34698","(727) 734-4696","140"
"11910784","ST MARK VILLAGE, INC.","Assisted Living Facility","2655 NEBRASKA AVE","PALM HARBOR","34684-2630","(727) 785-2577","88"
"11910785","ST. MARK ASSISTED LIVING CENTER","Assisted Living Facility","880 HIGHLANDS BLVD","PALM HARBOR","34684-2827","(727) 785-2577","75"
"11910786","WESTMINSTER SHORES, INC.","Assisted Living Facility","125 56 AVE, S","SAINT PETERSBURG","33705","(727) 867-2131","103"
"11910790","THE PAVILION OF NEW PORT RICHEY","Assisted Living Facility","5539 CHARLES ST","NEW PORT RICHEY","34652-3705","(727) 848-4459","100"
"11910801","WESTMINSTER SUNCOAST","Assisted Living Facility","1095 PINELLAS POINT DR S","SAINT PETERSBURG","33705","(727) 867-1131","60"
"11910804","SUNSHINE CHRISTIAN HOMES INC","Assisted Living Facility","5250 WHIPPOORWILL DR","HOLIDAY","34690","(727) 934-8052","108"
"11910810","ELISON SENIOR LIVING COMMUNITY OF PINECREST","Assisted Living Facility","1150 8TH AV SW","LARGO","33770","(727) 581-8142","120"
"11910833","EUPHORIAN HOUSE","Assisted Living Facility","1103 NORMANDY RD","CLEARWATER","33764-4825","(727) 797-9461","13"
"11910842","OAKS OF CLEARWATER, THE","Assisted Living Facility","420 BAY AVENUE","CLEARWATER","33756","(727) 445-4700","175"
"11910844","OAK MANOR SENIOR LIVING COMMUNITY","Assisted Living Facility","3600 OAK MANOR LANE","LARGO","33774","(727) 581-9427","150"
"11910857","SUNSET LOVING CARE INC","Assisted Living Facility","9740 SW 77 TERRACE","MIAMI","33173","(305) 279-7421","6"
"11910870","BAY OAKS HISTORIC RETIREMENT RESIDENCE INC","Assisted Living Facility","435 NE 34TH ST","MIAMI","33137-4012","(305) 573-4337","32"
"11910890","CARE AND LOVE RETIREMENT HOME, LLC","Assisted Living Facility","642 E 21ST ST","HIALEAH","33013-4020","(305) 504-4893","20"
"11910896","ADAM F/F INC","Assisted Living Facility","34 W 14TH ST","HIALEAH","33010","(305) 888-6356","21"
"11910910","ELPA HOME CARE CENTER","Assisted Living Facility","9950 SW 83RD ST","MIAMI","33173-4012","(305) 596-3824","6"
"11910916","LAS PALMAS SENIOR LIVING","Assisted Living Facility","5300 W 16TH AVE","HIALEAH","33012-2104","(305) 556-3500","200"
"11910926","VILLA ROSA I, INC.","Assisted Living Facility","182 W 9TH ST","HIALEAH","33010-4015","(305) 887-8095","40"
"11910938","MARY FAMILY HOME LLC","Assisted Living Facility","7935 SW 146TH CT","MIAMI","33183-2942","(305) 385-1138","6"
"11910948","WELLNESS ADVANTAGE HOME CARE, INC","Assisted Living Facility","10601 CARIBBEAN BLVD","CUTLER BAY","33189-1360","(305) 235-5872","6"
"11910950","LEMAR HOME ALF LLC","Assisted Living Facility","320 NW 183RD ST","MIAMI","33169-4464","(305) 749-6751","6"
"11910951","SALMOS 23 #4 LLC","Assisted Living Facility","70 EAST 21ST STREET","HIALEAH","33010","(305) 888-0779","76"
"11910961","SALMOS 23 V LLC","Assisted Living Facility","240 EAST 5  STREET","HIALEAH","33010","(305) 887-4965","67"
"11910963","HAZEL CYPEN TOWER","Assisted Living Facility","5066 NE 2ND AVENUE","MIAMI","33137","(305) 762-3890","132"
"11910964","TRIANA ELDERLY CARE, LLC","Assisted Living Facility","20020 SW 113TH PL","MIAMI","33189-1160","(305) 255-7934","6"
"11910969","JESUS OF NAZARETH ALF INC","Assisted Living Facility","2801 SW 37TH CT","MIAMI","33134-7339","(786) 801-1757","14"
"11910970","TGL RESIDENCE ALF","Assisted Living Facility","3210 SW 104 COURT","MIAMI","33165","(305) 559-5917","9"
"11910982","NOELITO AMERICAN LIVING COMPANY","Assisted Living Facility","11060 SW 58TH TER","MIAMI","33173-1106","(305) 598-9154","6"
"11910987","MAGGIE'S RETIREMENT HOME","Assisted Living Facility","7930 SW 11TH ST","MIAMI","33144-4314","(305) 266-6762","22"
"11910988","APOSTOLADO HOME #3, INC","Assisted Living Facility","13510 SW 79TH ST","MIAMI","33183-4105","(305) 200-5589","6"
"11910990","MAGIARI INC","Assisted Living Facility","3400 SW 122ND AVE","MIAMI","33175-3070","(305) 553-8006","6"
"11910993","LOVE AND CARE ALF INC","Assisted Living Facility","6701 SW 27TH ST","MIAMI","33155-2913","(305) 603-7300","6"
"11911004","MILLER HEIGHTS HOME","Assisted Living Facility","4930 SW 87TH AVE","MIAMI","33165-6705","(305) 598-7614","6"
"11911005","MIDWAY RETIREMENT RESIDENCE","Assisted Living Facility","93 SW 79 COURT","MIAMI","33144","(305) 926-9169","12"
"11911011","GARDEN WALK ASSISTED LIVING CORP","Assisted Living Facility","1760 EAST 1 AVENUE","HIALEAH","33010","(305) 885-7733","34"
"11911029","JC & C ALF, LLC","Assisted Living Facility","158 WEST 10 STREET","HIALEAH","33010","(786) 281-1583","14"
"11911030","LUCILLE'S LOVING CARE","Assisted Living Facility","17820 NW 22ND AVE","MIAMI GARDENS","33056-4736","(305) 623-0710","14"
"11911032","PALACE AT KENDALL","Assisted Living Facility","11355 SW 84 STREET","MIAMI","33173","(305) 270-7000","510"
"11911034","RENACER ALF","Assisted Living Facility","115 WEST 5 STREET","HIALEAH","33010","(786) 547-2924","22"
"11911035","ST ANNE'S RESIDENCE","Assisted Living Facility","11855 QUAIL ROOST DRIVE","MIAMI","33177","(305) 252-4000","60"
"11911036","CHARITY CARE INC","Assisted Living Facility","461 E 31ST ST","HIALEAH","33013-3332","(305) 693-6211","20"
"11911081","TWIN CITIES PAVILION","Assisted Living Facility","1053 JOHN SIMS PARKWAY","NICEVILLE","32578","(850) 833-9212","50"
"11911084","THE HARMONY HOUSE OF OCALA","Assisted Living Facility","5762 SW 60TH AVENUE","OCALA","34474","(352) 237-4544","54"
"11911085","VITALITY LIVING SPRING HILL","Assisted Living Facility","7030 EVERGREEN WOODS TRL","SPRING HILL","34608-1305","(352) 596-2055","240"
"11911086","FIVE OAKS REST HOME","Assisted Living Facility","611 OLD WELAKA ROAD","WELAKA","32193","(386) 467-2004","27"
"11911091","DACIER MANOR","Assisted Living Facility","10676 MARVIN JONES BLVD","LIVE OAK","32064-8242","(386) 658-5552","60"
"11911095","KIVA OF PALATKA","Assisted Living Facility","201 ZEAGLER DRIVE","PALATKA","32177","(386) 325-0699","40"
"11911097","MAYFIELD RETIREMENT CENTER","Assisted Living Facility","460 NEWELL HILL ROAD","LEESBURG","34748","(352) 365-6011","49"
"11911101","THE VILLAGE AT GAINESVILLE","Assisted Living Facility","8000 NW 27TH BOULEVARD","GAINESVILLE","32606","(352) 373-4032","140"
"11911115","RULEME PLACE","Assisted Living Facility","2808 RULEME ST","EUSTIS","32726-6527","(352) 357-1990","40"
"11911119","NAVAL CONTINUING CARE RETIREMENT FOUNDATION, INC.","Assisted Living Facility","ONE FLEET LANDING BOULEVARD","ATLANTIC BEACH","32233","(904) 246-9900","150"
"11911131","OAK MANOR, INC","Assisted Living Facility","1771 WEST MINNESOTA AVE","DELAND","32720","(386) 736-7231","11"
"11911132","OCEAN VIEW MANOR","Assisted Living Facility","624 S ATLANTIC AVENUE","DAYTONA BEACH","32118","(386) 258-5116","85"
"11911133","OPEN ARMS ALF","Assisted Living Facility","401 ORANGE AVENUE","PORT ORANGE","32127","(386) 761-6268","14"
"11911143","JOHN KNOX VILLAGE OF CENTRAL FLORIDA, INC.","Assisted Living Facility","101 NORTHLAKE DRIVE","ORANGE CITY","32763","(386) 775-3840","60"
"11911145","ELDERLY LIVING CENTER OF HOLLY HILL, INC.","Assisted Living Facility","810 OLEANDER AVE","HOLLY HILL","32117","(386) 255-8690","15"
"11911155","WORC HAVEN, INC","Assisted Living Facility","1090 JIMMY ANN DRIVE","DAYTONA BEACH","32117","(386) 274-4228","15"
"11911157","PRESTIGE MANOR II","Assisted Living Facility","6040 SOUTHEAST FRONT ROAD","BELLEVIEW","34420","(352) 307-6333","21"
"11911162","FIVE STAR PREMIER RESIDENCES OF BOCA RATON","Assisted Living Facility","22601 CAMINO DEL MAR","BOCA RATON","33433-6516","(561) 750-7100","75"
"11911165","RUSTIC RETREAT","Assisted Living Facility","1120 N FEDERAL HWY","BOYNTON BEACH","33435-3229","(561) 737-5887","30"
"11911184","OAKBRIDGE TERRACE AL RESIDENCE AT ST ANDREWS ESTATES","Assisted Living Facility","6152 VERDE TRL N","BOCA RATON","33433-2430","(561) 487-6200","72"
"11911191","HARBOR OAKS GOLDEN YEARS","Assisted Living Facility","158 FARMBROOK ROAD","PORT ORANGE","32127","(386) 767-1613","40"
"11911196","SUGARMILL MANOR","Assisted Living Facility","8985 SOUTH SUNCOAST BLVD","HOMOSASSA","34446","(352) 382-2531","60"
"11911199","KEY TRAINING CENTER","Assisted Living Facility","1368 N JAMES PAGE POINT","LECANTO","34461","(352) 795-5541","5"
"11911209","GOLDEN SANDS RETIREMENT HOME","Assisted Living Facility","809 NE 20TH AVE","FT LAUDERDALE","33304-3035","(954) 524-6054","14"
"11911212","KELLY'S ASSISTED LIVING FACILITY","Assisted Living Facility","1451 NW 20TH STREET","FORT LAUDERDALE","33311","(954) 524-2867","33"
"11911213","RANMAR GARDENS, INC.","Assisted Living Facility","1454 NE 56TH STREET","FORT LAUDERDALE","33334","(954) 491-7396","9"
"11911215","HARBOUR HEALTH ASSISTED LIVING","Assisted Living Facility","23013 WESTCHESTER BLVD","PORT CHARLOTTE","33980","(941) 625-1100","135"
"11911216","BROOKDALE SARASOTA MIDTOWN","Assisted Living Facility","2186 BAHIA VISTA STREET","SARASOTA","34239","(941) 954-1911","120"
"11911219","KING'S CROWN-SHELL POINT VILLAGE","Assisted Living Facility","3699 KINGS CROWN COURT","FORT MYERS","33908","(239) 454-2175","130"
"11911223","VICK STREET MANOR","Assisted Living Facility","22332 VICK STREET","PORT CHARLOTTE","33980","(941) 627-5388","87"
"11911229","WESTMINSTER WINTER PARK","Assisted Living Facility","1111 SOUTH LAKEMONT AVENUE","WINTER PARK","32792","(407) 647-4083","73"
"11911233","SANFORD PL LLC","Assisted Living Facility","1704 WEST 9TH STREET","SANFORD","32772","(407) 323-9914","50"
